2025-11-06 15:22:46 | smartagri_server.app | INFO | <module>:45 | ============================================================
2025-11-06 15:22:48 | smartagri_server.app | INFO | <module>:50 | Crop recommendation model loaded successfully
2025-11-06 15:22:48 | smartagri_server.app | INFO | <module>:58 | Groq client initialized successfully
2025-11-06 15:22:48 | smartagri_server.app | INFO | <module>:686 | SmartAgri Server starting on http://0.0.0.0:5000
2025-11-06 15:23:32 | smartagri_server.app | INFO | <module>:39 | ============================================================
2025-11-06 15:23:32 | smartagri_server.app | INFO | <module>:40 | SmartAgri Server Starting...
2025-11-06 15:23:32 | smartagri_server.app | INFO | <module>:41 | GROQ_API_KEY configured: True
2025-11-06 15:23:32 | smartagri_server.app | INFO | <module>:42 | WEATHER_API_KEY configured: True
2025-11-06 15:23:32 | smartagri_server.app | INFO | <module>:43 | ELEVEN_API_KEY configured: True
2025-11-06 15:23:32 | smartagri_server.app | INFO | <module>:44 | KINDWISE_API_KEY configured: True
2025-11-06 15:23:32 | smartagri_server.app | INFO | <module>:45 | ============================================================
2025-11-06 15:23:33 | smartagri_server.app | INFO | <module>:50 | Crop recommendation model loaded successfully
2025-11-06 15:23:34 | smartagri_server.app | INFO | <module>:58 | Groq client initialized successfully
2025-11-06 15:23:34 | smartagri_server.app | INFO | <module>:686 | SmartAgri Server starting on http://0.0.0.0:5000
2025-11-06 15:25:49 | smartagri_server.app | INFO | <module>:39 | ============================================================
2025-11-06 15:25:49 | smartagri_server.app | INFO | <module>:40 | SmartAgri Server Starting...
2025-11-06 15:25:49 | smartagri_server.app | INFO | <module>:41 | GROQ_API_KEY configured: True
2025-11-06 15:25:49 | smartagri_server.app | INFO | <module>:42 | WEATHER_API_KEY configured: True
2025-11-06 15:25:49 | smartagri_server.app | INFO | <module>:43 | ELEVEN_API_KEY configured: True
2025-11-06 15:25:49 | smartagri_server.app | INFO | <module>:44 | KINDWISE_API_KEY configured: True
2025-11-06 15:25:49 | smartagri_server.app | INFO | <module>:45 | ============================================================
2025-11-06 15:25:51 | smartagri_server.app | INFO | <module>:50 | Crop recommendation model loaded successfully
2025-11-06 15:25:52 | smartagri_server.app | INFO | <module>:58 | Groq client initialized successfully
2025-11-06 15:25:52 | smartagri_server.app | INFO | <module>:686 | SmartAgri Server starting on http://0.0.0.0:5000
2025-11-06 15:37:55 | smartagri_server.app | INFO | <module>:39 | ============================================================
2025-11-06 15:37:55 | smartagri_server.app | INFO | <module>:40 | SmartAgri Server Starting...
2025-11-06 15:37:55 | smartagri_server.app | INFO | <module>:41 | GROQ_API_KEY configured: True
2025-11-06 15:37:55 | smartagri_server.app | INFO | <module>:42 | WEATHER_API_KEY configured: True
2025-11-06 15:37:55 | smartagri_server.app | INFO | <module>:43 | ELEVEN_API_KEY configured: True
2025-11-06 15:37:55 | smartagri_server.app | INFO | <module>:44 | KINDWISE_API_KEY configured: True
2025-11-06 15:37:55 | smartagri_server.app | INFO | <module>:45 | ============================================================
2025-11-06 15:37:57 | smartagri_server.app | INFO | <module>:50 | Crop recommendation model loaded successfully
2025-11-06 15:37:58 | smartagri_server.app | INFO | <module>:58 | Groq client initialized successfully
2025-11-06 15:37:58 | smartagri_server.app | INFO | <module>:686 | SmartAgri Server starting on http://0.0.0.0:5000
2025-11-06 15:37:59 | smartagri_server.app | INFO | <module>:39 | ============================================================
2025-11-06 15:37:59 | smartagri_server.app | INFO | <module>:40 | SmartAgri Server Starting...
2025-11-06 15:37:59 | smartagri_server.app | INFO | <module>:41 | GROQ_API_KEY configured: True
2025-11-06 15:37:59 | smartagri_server.app | INFO | <module>:42 | WEATHER_API_KEY configured: True
2025-11-06 15:37:59 | smartagri_server.app | INFO | <module>:43 | ELEVEN_API_KEY configured: True
2025-11-06 15:37:59 | smartagri_server.app | INFO | <module>:44 | KINDWISE_API_KEY configured: True
2025-11-06 15:37:59 | smartagri_server.app | INFO | <module>:45 | ============================================================
2025-11-06 15:38:00 | smartagri_server.app | INFO | <module>:50 | Crop recommendation model loaded successfully
2025-11-06 15:38:01 | smartagri_server.app | INFO | <module>:58 | Groq client initialized successfully
2025-11-06 15:38:01 | smartagri_server.app | INFO | <module>:686 | SmartAgri Server starting on http://0.0.0.0:5000
2025-11-06 15:38:59 | smartagri.app | INFO | wrapper:135 | [20251106153859547239] /api/recommend_crop - Request received
2025-11-06 15:38:59 | smartagri_server.app | INFO | recommend_crop:308 | Crop recommendation request for data: {'N': 90, 'P': 42, 'K': 43, 'temperature': 20, 'humidity': 82, 'ph': 7, 'rainfall': 200}
